readable_name,name,country_specific_code,country_2_letter
'Ammal,Ammal,DZ013002,DZ
'Aïn Abid,Ain Abid,DZ015001,DZ
'Aïn Boucif,Ain Boucif,DZ027001,DZ
'Aïn Deheb,Ain Deheb,DZ043002,DZ
'Aïn Merane,Ain Merane,DZ014002,DZ
'Aïn el Berd,Ain El Berd,DZ038002,DZ
'Aïn el Hadjar,Ain El Hadjar,DZ036001,DZ
'Aïn el Hammam,Ain El Hammam,DZ047004,DZ
'Aïn el Melh,Ain El Melh,DZ030002,DZ
'Ishqabad,Aşgabat etraby,605,TM
'Mamants'O,Mamants'o,E02,LS
's-Gravenhage,'s-Gravenhage,0518,NL
's-Hertogenbosch,'s-Hertogenbosch,0796,NL
1 Decembrie,1 Decembrie,102543,RO
10th of Ramadan First,قسم اول مدينه العاشر من رمضان,1309,EG
10th of Ramadan Second,قسم ثان مدينه العاشر من رمضان,1321,EG
13th district of Budapest,Budapest 13. ker.,013,HU
15th of May,قسم 15 مايو,0903,EG
18th district of Budapest,Budapest 18. ker.,018,HU
19th district of Budapest,Budapest 19. ker.,019,HU
1st District of Metro Manila,Manila,1380600000,PH
23 August,23 August,060598,RO
"25 de Mayo Department, Rio Negro",25 de Mayo,62091,AR
2nd district of Budapest,Budapest 02. ker.,002,HU
3. Wiener Gemeindebezirk,Landstraße,903,AT
6th of October First,قسم اول 6 اكتوبر,1007,EG
6th of October Second,قسم ثان 6 اكتوبر,1021,EG
7 Makara,Prampir Meakkakra,1203,KH
9 de Julio Partido,9 de Julio,06588,AR
A Coruna,A Coruña,15,ES
A matenango del Valle,Amatenango de la Frontera,07006,MX
A'ali,عالي,301,BH
A'zaz,اعزاز,0204,SY
ABJ,Abuja Municipal,1502,NG
AC,Ascension,SH-AC,SH
AI,Kanton Appenzell Innerrhoden,1600,CH
APY,Anangu Pitjantjatjara Yankunytjatjara,40250,AU
ASR District,Alluri Sitharama Raju,745,IN
ATA,Araçatuba,3502804,BR
Aa en Hunze,Aa en Hunze,1680,NL
Aaa,Talca,071,CL
Aabenraa Municipality,Aabenraa,580,DK
Aachen cities region,Städteregion Aachen,05334,DE
Aafer,Afir,DZ013001,DZ
Aai o Fiti,Aai o Fiti,10251,WS
Aai o Niue,Aai o Niue,10218,WS
Aalborg Municipality,Aalborg,851,DK
